"content","timestamp","post__pagename","post__timestamp","post__message","target__display","target__headline","target__url","target__description","target__image__src","target__image__label"
"""Det 4,5 hektar store stykke land, East Island, der mest bestod af sand og grus, er simpelthen forsvundet fra jordens overflade."" #StopClickBait","27-10-2018 14:24","B.T.","25-10-2018 16:52","Øen er forsvundet efter en kraftig storm.","bt.dk","Hel ø forsvundet","https://www.bt.dk/udland/en-oe-ved-hawaii-er-forsvundet-under-orkan","","images/image_10.jpg","Billedet indeholder sandsynligvis: vand og friluftsliv"
"""Undervejs i optagelserne faldt Jasmin Gabay nemlig på sin cykel og fik en alvorlig hjernerystelse, og det gjorde deltagelsen i programmet ekstra hård."" #StopClickBait","27-10-2018 12:04","Ekstra Bladet","27-10-2018 10:20","- Jeg var til en masse undersøgelser og også til en hjernespecialist.","ekstrabladet.dk","Det så du ikke på tv: 'Bagedyst'-deltager i alvorlig ulykke","https://ekstrabladet.dk/flash/filmogtv/det-saa-du-ikke-paa-tv-bagedyst-deltager-i-alvorlig-ulykke/7370386","Læs mere her","images/image_11.jpg","Billedet indeholder sandsynligvis: en eller flere personer, folk, der står og friluftsliv"
"""Midt i festlighederne måtte de fine gæster finde sig i at blive svinet til på det groveste af skuespiller og cirkusdirektør Søren Østergaard, der i skikkelse af sin kendte karakter Smadremanden gjorde sit bedste for at ødelægge den gode stemning."" #StopClickBait","25-10-2018 17:26","Ekstra Bladet","25-10-2018 16:40","- I ligner jo lort. Jeg har da aldrig set så mange grimme mennesker samlet på ét sted. Hold kæft, hvor ser I dumme ud. Kan du gætte hvem? 🤣","ekstrabladet.dk","Usoigneret cirkusartist dukkede op til dronningens aftenselskab","https://ekstrabladet.dk/flash/kongelige/danskekongelige/usoigneret-cirkusartist-dukkede-op-til-dronningens-aftenselskab/7367802","Læs mere her","images/image_12.jpg","Billedet indeholder sandsynligvis: en eller flere personer og folk, der sidder"
"Silkeborg. #StopClickBait","24-10-2018 20:14","B.T.","24-10-2018 20:10","Læs også hvordan du forebygger indbrud.🔦","bt.dk","Indbrudsbølge vælter ind\nover dansk by: Politiet\nudsender opfordring","https://www.bt.dk/krimi/indbrudsboelge-i-silkeborg-politiet-tyvene-er-professionelle-kreative-og-hurtige","Læs mere her.","images/image_13.jpg","Ingen automatisk alternativ tekst tilgængelig."
"""Skyd lortet"" skrev han om flygtningene, der vandrede herop."" 60 dages betinget fængsel. #StopClickBait","24-10-2018 18:56","Politirapporten Sjælland","24-10-2018 15:55","Er det ok, han bliver straffet for det? Hvad synes DU?","newsbreak.dk","Skrev DENNE kommentar på Facebook: Nu får mand fængselsstraf","https://newsbreak.dk/skrev-denne-kommentar-paa-facebook-nu-faar-mand-faengselsstraf/","Straffeloven","images/image_14.jpg","Billedet indeholder sandsynligvis: telefon"
"""I en pressemeddelelse skriver regionen, at et underskud på budgettet for 2019 gør, at regionen forventer at afskedige en del af de ansatte på sygehuse og i Regionshuset."" #StopClickBait","23-10-2018 19:35","B.T.","22-10-2018 22:20","Foruden fyringerne nedlægges en række ubesatte stillinger.","bt.dk","Job-massakre: Op til 317 fyres","https://www.bt.dk/samfund/region-sjaelland-fyrer-op-til-317-medarbejdere","","images/image_15.jpg","Billedet indeholder sandsynligvis: en eller flere personer"
"""Episoderne er talrige, men foreløbig står politiet uden nogen bagvedliggende forklaring på konflikten i Holbæk mellem rockerklubben Bandidos på den ene side og en unavngiven gruppering forankret i det såkaldte Vangkvarter på den anden."" #StopClickBait","23-10-2018 17:53","Ekstra Bladet","23-10-2018 14:14","Den danske by er nærmest forvandlet til en krigszone.","ekstrabladet.dk","Pistoler, økse og brandattentat: Rockere i konflikt med ghetto-gruppering","https://ekstrabladet.dk/112/rockere-i-konflikt-med-ghetto-gruppering-kamp-om-hashhandel-muligt-motiv/7364773","Læs mere her","images/image_16.jpg","Billedet indeholder sandsynligvis: bil og friluftsliv"
"""For mange unge mennesker er blevet folketingsmedlemmer og ministre, og det hører ingen steder hjemme. Det mener tidligere udenrigsminister Uffe Ellemann-Jensen (V)."" #StopClickBait","22-10-2018 12:28","Avisen.dk","22-10-2018 11:13","Har han en pointe?","avisen.dk","Uffe Ellemann: Børnebander hærger på Christiansborg","https://www.avisen.dk/uffe-ellemann-boernebander-haerger-paa-christiansbor_521772.aspx","","images/image_17.jpg","Billedet indeholder sandsynligvis: en eller flere personer, briller, nærbillede og friluftsliv"
"Aske fra en død person. #StopClickBait","21-10-2018 16:09","Ekstra Bladet","19-10-2018 19:07","Småkagerne blev smagt på af mindst ni forskellige klassekammerater.🤢","ekstrabladet.dk","Delte kage ud til klassekammeraterne: Skjulte KLAM ingrediens","https://ekstrabladet.dk/112/delte-kage-ud-til-klassekammeraterne-skjulte-klam-ingrediens/7360098","Læs mere her","images/image_18.jpg","Billedet indeholder sandsynligvis: mad"
"""Når du åbner en pakke danske æg i supermarkedernes kølediske for at tjekke, om de er intakte, vil der fremover være trykt et dannebrogsflag, et æg, en høne og et hjerte direkte på skallen."" #StopClickBait","21-10-2018 15:59","Ekstra Bladet","21-10-2018 09:00","Fremover får æggene et lidt andet udseende, end vi er vant til","ekstrabladet.dk","Fra mandag ser danske æg anderledes ud","https://ekstrabladet.dk/nyheder/samfund/fra-paa-mandag-ser-danske-aeg-anderledes-ud/7361816","","images/image_19.jpg","Ingen automatisk alternativ tekst tilgængelig."
"""Er blevet spurgt Den ombejlede herre er dog tidligere blevet spurgt, om han kunne tænke sig at være med, men der lød svaret nej. -  Jeg synes ikke rigtig lige, at timingen har været der, siger han.""... #StopClickBait Se mere","20-10-2018 23:44","Ekstra Bladet","20-10-2018 22:23","Synge? Ja. Danse? Nej tak!","ekstrabladet.dk","Christopher afviser TV2 på et punkt: Derfor siger jeg nej","https://ekstrabladet.dk/flash/dkkendte/christopher-afviser-tv2-paa-et-punkt-derfor-siger-jeg-nej/7360784","Læs mere her","images/image_20.jpg","Billedet indeholder sandsynligvis: en eller flere personer, folk på scenen og nat"
"""At male graffiti på offentlige vægge og husmure er ikke bare ulovligt. Det kan også koste op til 10 års fængsel - i hvert fald i Thailand."" #StopClickBait","20-10-2018 13:18","B.T.","19-10-2018 19:20","De to unge turister har indrømmet forbrydelsen.","bt.dk","Fanget på video: To turister risikerer 10 års fængsel","https://www.bt.dk/udland/to-turister-risikerer-10-aars-faengsel-i-thailand-sprayede-grafitti-paa-en-mur","Læs mere her.","images/image_21.jpg","Billedet indeholder sandsynligvis: nat og friluftsliv"
"""Det var en alpaka - et dyr, der minder om en lama, og som stammer fra Sydamerika."" #StopClickBait","16-10-2018 23:34","B.T.","16-10-2018 23:00","Man troede først, det var en hest, men så viste det sig at være et helt andet dyr. 😮","bt.dk","Usædvanligt dyr fundet uden hoved","https://www.bt.dk/krimi/usaedvanligt-dyr-fundet-uden-hoved","","images/image_22.jpg","Billedet indeholder sandsynligvis: plante, friluftsliv og natur"
"""Huawei Mate 20 Pro, der vil blive solgt i Danmark, er en ""generøs"" telefon. Den kan nemlig bruges til at lade andre telefoner op."" #StopClickBait","16-10-2018 23:29","B.T.","16-10-2018 21:40","Overvejer du at skifte til den nye smartphone?","bt.dk","Ny smartphone kan noget helt nyt","https://www.bt.dk/erhverv/ny-kinesisk-smartphone-kan-oplade-andre-telefoner","","images/image_23.jpg","Billedet indeholder sandsynligvis: telefon"
"""Det er 34 år siden, at den ikoniske rolle døde i et skur i Sydhavnen med en sprøjte i armen. Men Allan Olsen oplever stadig, at folk råber efter ham 'Hva så' Spacy, din gamle tårnspringer'."" #StopClickBait","16-10-2018 14:07","Ekstra Bladet","16-10-2018 07:39","Efter 34 år har folk stadig ikke glemt dén sætning 😂","ekstrabladet.dk","Så du 'Midt om natten'? Her er replikken han igen og igen konfronteres med","https://ekstrabladet.dk/flash/dkkendte/saa-du-midt-om-natten-i-tv-her-er-replikken-han-igen-og-igen-konfronteres-med/7353878","Læs mere her","images/image_24.jpg","Billedet indeholder sandsynligvis: en eller flere personer og nærbillede"
"""Efter blot to år er eventyret nu slut for det danske ur-mærke Orlo - kassen er tom, og firmaet er begæret konkurs. Det skriver Fyens.dk."" #StopClickBait","16-10-2018 11:54","B.T.","16-10-2018 11:40","Efter kun to år må firmaet nu dreje nøglen om.","bt.dk","Dansk ur-mærke går konkurs","https://www.bt.dk/erhverv/det-danske-ur-maerke-orlo-gaar-konkurs","","images/image_25.jpg","Ingen automatisk alternativ tekst tilgængelig."
"""Tysk politi ransager mandag eftermiddag kontorer hos bilgiganten Opel, der mistænkes for at snyde med dieselbiler. Det skriver det tyske medie Der Spiegel."" #StopClickBait","15-10-2018 16:07","B.T.","15-10-2018 14:34","Politiet har mistanke om svindel.","bt.dk","Razzia hos bilgigant","https://www.bt.dk/udland/tysk-politi-i-razzia-hos-bilgiganten-opel","","images/image_26.jpg","Billedet indeholder sandsynligvis: en eller flere personer, folk, der står og bil"
"""Selvom Pizzabakeren annoncerer, at de nu åbner en butik i Danmark. Så er det ikke første gang. Der har tidligere ligget forretninger i både Hirtshals og Esbjerg. De er begge lukket igen efter få måneder."" #StopClickBait","15-10-2018 12:25","Ekstra Bladet","15-10-2018 08:40","Nordens største take-away pizzakæde satser på succes i Danmark.","ekstrabladet.dk","Ny kæmpekæde rammer landet: Vil erobre det danske marked","https://ekstrabladet.dk/nyheder/samfund/ny-kaempekaede-rammer-landet-vil-erobre-det-danske-marked/7353470","Læs mere her","images/image_27.jpg","Billedet indeholder sandsynligvis: mad"
"""Det skyldes fund af sort plastic i den populære snack."" #StopClickBait","14-10-2018 14:18","B.T.","14-10-2018 12:32","Er du gået forgæves efter Chili Cheese tops? 😯","bt.dk","Nu kommer forklaringen: Derfor er Danmark tørlagt for Chili Cheese tops","https://www.bt.dk/erhverv/mcdonalds-i-chili-cheese-mareridt-maatte-toerlaegge-danmark-efter-plastic-fund","Læs mere her.","images/image_28.jpg","Ingen automatisk alternativ tekst tilgængelig."
"SOSU. #StopClickBait","12-10-2018 11:14","Ekstra Bladet","12-10-2018 09:58","Er det godt at give voksne, arbejdsløse borgere 19.863 kroner pr måned for tage en uddannelse? (Se, hvilken uddannelse der er tale om i artiklen)","ekstrabladet.dk","Bedre end SU: 19.863 pr. måned for at tage en uddannelse","https://ekstrabladet.dk/nationen/bedre-end-su-19.863-pr.-maaned-for-at-tage-en-uddannelse/7348973","Læs mere her","images/image_29.jpg","Billedet indeholder sandsynligvis: en eller flere personer og indendørs"
"""41-årige Niccoline Preisler er onsdag eftermiddag blevet idømt to års fængsel for at efterlade sin egen datter og en 14-årig dreng i hjælpeløs tilstand i sin lejlighed. Drengen endte med at dø, mens datteren fik hjertestop. Hun er i dag svært hjerneskadet"" #StopClickBait","10-10-2018 18:19","Ekstra Bladet","10-10-2018 16:47","Københavns Byret har netop afsagt dommen i sagen mod den 41-årige kvinde.","ekstrabladet.dk","Dreng døde og pige blev hjerneskadet: Her er dommen","https://ekstrabladet.dk/112/dreng-doede-og-pige-blev-hjerneskadet-her-er-dommen/7347205","","images/image_30.jpg","Billedet indeholder sandsynligvis: en eller flere personer og friluftsliv"
"""»Årsagen til, at han er stoppet, er, at han ikke føler, han er kommet på den rette hylde,« oplyser grevinde Alexandra gennem sin sekretær, Helle von Wildenrath Løvgreen, til B.T."" #StopClickBait","10-10-2018 16:50","B.T.","10-10-2018 14:57","Er det okay, at han dropper ud efter blot to måneder på studiet?","bt.dk","Alexandra: Derfor\ner prins Nikolai\ndroppet ud","https://www.bt.dk/royale/grevinde-alexandra-forklarer-derfor-er-prins-nikolai-droppet-ud","Læs mere her.","images/image_31.jpg","Billedet indeholder sandsynligvis: en eller flere personer og nærbillede"
"""Vold, spytklatter og udbrud som 'fuck din mor' og 'skrid din luder' er blevet hverdag på Præstegårdsskolen i Esbjerg."" #StopClickBait","10-10-2018 12:50","Ekstra Bladet","10-10-2018 09:41","Vold, spytklatter og udbrud som 'fuck din mor' er blevet hverdag på dansk skole.","ekstrabladet.dk","Små børn fra 0. til 2. klasse hærger på dansk skole: 'Skrid din luder'","https://ekstrabladet.dk/nyheder/samfund/smaa-boern-fra-0.-til-2.-klasse-haerger-paa-dansk-skole-skrid-din-luder/7346509","Læs mere her","images/image_32.jpg","Billedet indeholder sandsynligvis: friluftsliv"
"""'Kunne du hjælpe mig her, så skal jeg sørge for, at du får verdens laveste salær på dit hussalg’, skrev mægleren - som B.T. har valgt at holde anonym - da han i maj 2015 havde problemer med at få godkendt en byggeansøgning af kommunen."" #StopClickBait","07-10-2018 16:49","B.T.","06-10-2018 20:07","Mægleren er nu blevet suspenderet af Danbolig, oplyser kædens direktør.","bt.dk","Danbolig afsløret i bestikkelsessag","https://www.bt.dk/samfund/danbolig-afsloeret-i-bestikkelsessag","Læs mere her.","images/image_33.jpg","Billedet indeholder sandsynligvis: en eller flere personer"
"""Foreløbigt kun København - Det er en kæmpestor nyhed for os og for mange af vores kunder, at vi fra mandag som et forsøg indfører McDelivery – altså udbringning, fortæller Mads Jensen, kommunikationschef hos McDonald’s Danmark."" #StopClickBait","07-10-2018 15:16","Ekstra Bladet","07-10-2018 13:37","Kalder dovne danske McD-fans 🙏😅😋","ekstrabladet.dk","McDonald’s med nyhed i Danmark: - Det er kæmpestort for os","https://ekstrabladet.dk/kup/fodevarer/mcdonalds-med-nyhed-i-danmark-det-er-kaempestort-for-os/7341393","Læs mere her","images/image_34.jpg","Billedet indeholder sandsynligvis: en eller flere personer, folk, der står, telefon og indendørs"
"""I Guldborgsund Kommune har man nemlig søsat et projekt ved navn 'High Speed Iværksætteri'. Her har kommunen hjulpet 18 ledige med at få deres egne forretningsideer ført ud i livet - blandt andet har de fået hjælp til at lave hjemmesider, forretningsplaner og oprette CVR-numre."" #StopClickBait","07-10-2018 15:13","Avisen.dk","07-10-2018 14:16","Er det noget, man bør gøre i andre kommuner?","avisen.dk","Henrik var på kontanthjælp: Så fik kommunen en idé","https://www.avisen.dk/henrik-var-paa-kontanthjaelp-saa-fik-kommunen-en-ide_519552.aspx","Læs mere her.","images/image_35.jpg","Ingen automatisk alternativ tekst tilgængelig."
"37. #StopClickBait","07-10-2018 00:30","Avisen.dk","03-10-2018 13:45","Det kommer til at koste flere job!","avisen.dk","Tyggegummi-gigant svinger sparekniven: Så mange mister jobbet","https://www.avisen.dk/tyggegummi-gigant-svinger-sparekniven-saa-mange-mist_518875.aspx","Læs mere her.","images/image_36.jpg","Billedet indeholder sandsynligvis: en eller flere personer, himmel, jakkesæt, friluftsliv og tekst"
"""En udsendt e-mail fra TV 2 forbyder pressen at bringe negativ omtale af den kommende serie »Kriger«. »Besynderligt og amatøragtigt«, siger medieforsker. »En fejl«, svarer TV 2."" #StopClickBait","06-10-2018 22:13","B.T.","06-10-2018 21:36","‘Faktisk er jeg lidt i chok over, at man kan finde på at udsende sådan noget’","bt.dk","TV 2 i stor brøler: ‘Amatøragtigt!’","https://www.bt.dk/samfund/tv-2-i-kriger-broeler-amatoeragtigt","Læs mere her.","images/image_37.jpg","Billedet indeholder sandsynligvis: friluftsliv"
"""Et forældrepar fra den amerikanske stat Utah nægtede nærmest at tro deres egne øjne, da de opdagede, at deres søn på 2 år, Leo Belnap, havde sendt over 6.624kr gennem en makulator."" #StopClickBait","06-10-2018 22:08","B.T.","06-10-2018 10:10","Der lægger de nok ikke pengene igen.","bt.dk","Forældrene ledte efter opsparingen - sønnens leg chokerede dem","https://www.bt.dk/udland/2-aarig-soen-sendte-over-1000-dollar-gennem-makulatoren","","images/image_38.jpg","Billedet indeholder sandsynligvis: indendørs"
"Hun er fundet ... #StopClickBait","06-10-2018 20:30","B.T.","06-10-2018 17:26","Politiet er fåmælte om sagen.","bt.dk","Kvinde forsvundet i tre dage - nu er der nyt i sagen","https://www.bt.dk/krimi/kvinde-forsvundet-i-tre-dage-nu-er-der-godt-nyt","","images/image_39.jpg","Billedet indeholder sandsynligvis: bil, himmel og friluftsliv"
"""- Da jeg så fandt bøtten, som jeg gik ud fra var læbepomade, tog jeg det bare på. Men da jeg efter lidt tid, ikke kunne mærke mine læber, spurgte jeg min mor, hvad der var i bøtten. Og så fortalte hun, at det var anal-afslapningscreme."" #StopClickBait","06-10-2018 12:34","Ekstra Bladet","06-10-2018 10:38","Nogle gange skal man spørge om lov, inden man låner andre folks ting. Se hvorfor her 😅😂😝","ekstrabladet.dk","Klam overraskelse: Troede hun lånte mors læbepomade","https://ekstrabladet.dk/vrangen/laante-mors-laebepomade-det-skulle-hun-aldrig-have-gjort/7341079","Læs mere her","images/image_40.jpg","Billedet indeholder sandsynligvis: en eller flere personer og nærbillede"
"Tænd lygterne ... #StopClickBait","05-10-2018 19:15","Politirapporten Sjælland","05-10-2018 11:25","Det kan være livsfarligt, hvis man glemmer det her😯! Spred gerne budskabet❤️","newsbreak.dk","Politiet advarer folk med nye biler: Husk nu denne VIGTIGE ting","https://newsbreak.dk/politiet-advarer-folk-med-nye-biler-husk-nu-denne-vigtige-ting/","Politi","images/image_41.jpg","Billedet indeholder sandsynligvis: nat og friluftsliv"
"""En stor politiaktion fredag skyldtes, at Politiets Efterretningstjeneste (PET) var bekymret for en gruppe iraneres sikkerhed i Danmark."" #StopClickBait","02-10-2018 21:14","B.T.","02-10-2018 20:20","PET frygtede et angreb på en bestemt gruppe eksil-iranere i Danmark, viser det sig nu.","bt.dk","Medie afslører: Derfor blev Sjælland lukket ned i mega-aktion","https://www.bt.dk/krimi/dr-stor-politiaktion-skyldtes-trussel-mod-iranere","","images/image_42.jpg","Billedet indeholder sandsynligvis: friluftsliv"
"""Det islandske flyselskab Primera Air med aktiviteter i både Letland og Danmark indgiver i aften ved midnatstid konkursbegæring."" #StopClickBait","01-10-2018 19:08","Ekstra Bladet","01-10-2018 19:04","- Det er med stor beklagelse, at vi må orientere jer om, at vi efter 14 år indstiller al aktivitet ved midnatstid 1. oktober 2018.","ekstrabladet.dk","Flyselskab: Vi går konkurs til midnat","https://ekstrabladet.dk/nyheder/samfund/flyselskab-vi-gaar-konkurs-til-midnat/7333647","Læs mere her","images/image_43.jpg","Ingen automatisk alternativ tekst tilgængelig."
"""H&M vil reducere forbruget af plastikposer med en købspris. Overskuddet går til WWF Verdensnaturfonden."" #StopClickBait","01-10-2018 17:08","B.T.","01-10-2018 09:10","Hvad synes du om H&Ms nye initiativ? 🛍","bt.dk","H&M i usædvanligt tiltag: 'Vi tror, det bliver taget godt imod'","https://www.bt.dk/erhverv/pris-paa-poser-i-hm-skal-saette-rokken-retur-i-de-danske-have","","images/image_44.jpg","Ingen automatisk alternativ tekst tilgængelig."
"""Dog bundede det ifølge advokaten i, at de havde overtrådt nogle mindre forseelser, som slet ikke kan måle sig med en sikkerhedstrussel. De havde nemlig ikke noget kørekort og havde røget hash."" #StopClickBait","29-09-2018 22:03","B.T.","29-09-2018 21:00","Det viste sig, at bilen ikke have noget med situationen at gøre, dog valgte passagerne at flygte alligevel.","bt.dk","Volvo-manden: Derfor flygtede vi fra politiet","https://www.bt.dk/krimi/efterlyst-fra-volvo-derfor-flygtede-de-fra-politiet","","images/image_45.jpg","Billedet indeholder sandsynligvis: bil og friluftsliv"
"""Med prisstigningen vil det koste 10 kroner at sende et brev på højst 50 gram med frimærke. Vælger man et quickbrev, der i teorien bliver leveret dag til dag, vil det koste 28 kroner for et brev op til 100 gram fra nytår."" #StopClickBait","28-09-2018 19:41","Avisen.dk","28-09-2018 14:08","Det bliver dyrere at sende breve, men billigere at sende pakker.","avisen.dk","PostNord hæver priserne igen: Her er den nye pris på at sende et brev","https://www.avisen.dk/postnord-haever-prisen-paa-breve-yderligere_518150.aspx","Læs mere her.","images/image_46.jpg","Ingen automatisk alternativ tekst tilgængelig."
"""Her oplæste retsformanden, at Peter Madsen er idømt livstid for sexdrab på Kim Wall om bord på ubåden UC3 Nautilus."" #StopClickBait","26-09-2018 17:15","Ekstra Bladet","26-09-2018 15:07","Østre Landsret har netop stadfæstet byrettens dom.","ekstrabladet.dk","Nu er dommen faldet","https://ekstrabladet.dk/112/nu-er-dommen-faldet/7306472","Læs mere her","images/image_47.jpg","Billedet indeholder sandsynligvis: en eller flere personer, ocean, himmel, friluftsliv, nærbillede og vand"
"""Ryanair vil fredag aflyse op mod 190 flyvninger på grund af dets kabinepersonales strejke."" #StopClickBait","25-09-2018 17:50","B.T.","25-09-2018 16:55","Op mod 30.000 kunder forventes at blive påvirket.","bt.dk","Flyselskab aflyser stribevis af fly","https://www.bt.dk/udland/flyselskabet-ryanair-aflyser-190-fly","","images/image_48.jpg","Billedet indeholder sandsynligvis: himmel, basketballbane og friluftsliv"
"Løkken. #StopClickBait","24-09-2018 23:03","B.T.","24-09-2018 21:00","'Ærgerligt, at de unge er forsvundet. Det er en helt anden by'","bt.dk","Dansk festby lukker sit sidste diskotek","https://www.bt.dk/nyheder/loekkens-sidste-diskotek-er-lukket","Læs mere her.","images/image_49.jpg","Billedet indeholder sandsynligvis: en eller flere personer, nat og indendørs"
"Op mod 500 kg. #StopClickBait","23-09-2018 16:12","Vores Odense","23-09-2018 15:29","48 dykkere fra Odense Dykkerklub og Diving 2000 fik søndag for første gang lov til at ryge i bassinet i Odense Havn. De kvitterede med at rydde op på bunden, men hvor mange kilo affald tror du, de fandt?","fyens.dk","Dykkere rensede bassinerne i Odense Havn","https://www.fyens.dk/article/3287118","","images/image_50.jpg","Billedet indeholder sandsynligvis: friluftsliv og vand"
"Gå væk, så du ikke forstyrrer øvelsen ... #StopClickBait","23-09-2018 13:40","Ekstra Bladet","23-09-2018 13:00","Det ser ud til, at vi får besøg af omkring 2000 af de vildeste soldater 😲","ekstrabladet.dk","Verdens bedste soldater i Danmark: Det skal du gøre, hvis du støder ind i en Navy SEAL","https://ekstrabladet.dk/nyheder/krigogkatastrofer/verdens-bedste-soldater-i-danmark-det-skal-du-goere-hvis-du-stoeder-ind-i-en-navy-seal/7317501","Læs mere her","images/image_51.jpg","Billedet indeholder sandsynligvis: en eller flere personer, folk, der står og friluftsliv"
"Det var en prank ... #StopClickBait","19-09-2018 18:30","Ekstra Bladet","19-09-2018 10:38","En ung dreng indrømmer, at han har stukket nåle i jordbær. Nu fortæller han hvorfor.","ekstrabladet.dk","Dreng arresteret for at putte nåle i jordbær: Derfor gjorde han det","https://ekstrabladet.dk/112/dreng-arresteret-for-at-putte-naale-i-jordbaer-derfor-gjorde-han-det/7313437","Læs mere her","images/image_52.jpg","Billedet indeholder sandsynligvis: frugt og mad"
